"id","event","dtstart","dtend","venue","address","town","area","country","latitude","longitude"
11,"Colm Gannon, Sean Mckeon And John Blake","2006-06-07 09:30:00","2006-06-07 12:00:00","The Goalpost","226 Water Street","Quincy","Massachusetts","USA",42.24073792,-71.00814819
5,"Brid O'Donohue","2006-06-09 08:00:00","2006-06-09 00:00:00","Glór","Causeway Link","Ennis","Clare","Ireland",52.84102631,-8.99745941
6,"National Celtic Festival","2006-06-09 19:00:00","2006-06-12 15:00:00","Various Venues","","Portarlington","Victoria","Australia",-38.11458588,144.65211487
7,"The Irish Connections Festival","2006-06-09 19:00:00","2006-06-11 00:00:00","Irish Cultural Centre","200 New Boston Drive","Canton","Massachusetts","USA",42.15058899,-71.11404419
19,"Louisville Irish Fest","2006-06-10 11:00:00","2006-06-11 06:00:00","Belvedere/River Front Plaza","","Louisville","Kentucky","USA",38.25266647,-85.75845337
4,"élan Concert (feat Damien Mullane And Sam Proctor)","2006-06-10 20:00:00","2006-06-10 23:30:00","Irish Cultural Centre","5 Black's Road","Hammersmith","London","England",51.49118805,-0.22373150
2,"Edel Fox And Ronan O'Flaherty CD Launch","2006-06-10 21:30:00","2006-06-10 23:00:00","The Crosses Of Annagh","","Miltown Malbay","Clare","Ireland",52.85300064,-9.39970589
1,"Glasgow Fiddle Workshop - The June Jam","2006-06-17 09:30:00","2006-06-17 16:30:00","Stow West College","","Glasgow","Glasgow","Scotland",55.85637283,-4.25716591
18,"Return To Camden Town Preview Event 2006 - Father's Day Family Ceili","2006-06-18 12:30:00","2006-06-18 00:00:00","London Irish Centre","50-52 Camden Square","Camden","London","England",51.54587173,-0.13118830
25,"Cape Cod Celtic Festival","2006-06-22 00:00:00","2006-06-25 00:00:00","Various Venues","","West Dennis","Massachusetts","USA",41.66455460,-70.17279816
32,"Set Dance Ceili","2006-06-30 00:00:00","2006-06-30 00:00:00","St.Thomas More Hall","116a Lordship Lane","East Dulwich","London","England",51.45635223,-0.07615940
10,"3rd Annual Fair Head Folk Festival","2006-06-30 20:00:00","2006-07-02 23:00:00","The Antrim Arms Hotel","75 Castle Street","Ballycastle","Antrim","Northern Ireland",55.20029831,-6.25256252
33," Party In The Park","2006-07-02 12:00:00","2006-07-02 00:00:00","Peckham Rye Park","","Southwark","London","England",51.50278091,-0.08773800
44,"Fleadh Chonnachta 2006","2006-07-06 00:00:00","2006-07-09 00:00:00","Various Venues","","Ballymote","Sligo","Ireland",54.08982849,-8.51718235
20,"Leinster Fleadh 2006","2006-07-07 20:00:00","2006-07-09 00:00:00","Various Venues","","Carlow","Carlow","Ireland",52.83597565,-6.92454958
47,"South Sligo Summer School","2006-07-09 00:00:00","2006-07-15 00:00:00","Various Venues","","Tubbercurry","Sligo","Ireland",54.05522537,-8.72982407
30,"Catskills Irish Arts Week","2006-07-09 10:00:00","2006-07-14 03:00:00","Michael J Quill Irish Cultural And Sports Centre","2267 Route 145","East Durham","New York","USA",42.36717606,-74.08736420
22,"Garden Concert","2006-07-09 19:30:00","2006-07-09 10:00:00","Borris House","Borris","Borris","Carlow","Ireland",52.60170364,-6.92511368
48,"Rothbury Music Festival","2006-07-14 00:00:00","2006-07-16 00:00:00","Various Venues","","Rothbury","Northumberland","England",55.31046295,-1.90954697
29,"Munster Fleadh Cheoil","2006-07-14 18:00:00","2006-07-16 00:00:00","Various Venues","","Lismore","Waterford","Ireland",52.13831711,-7.93023443
8,"Joe Mooney Summer School","2006-07-15 00:00:00","2006-07-26 00:00:00","Community Hall And Aras Phadraig","Drumshanbo","Drumshanbo","Leitrim","Ireland",54.04821014,-8.03947926
38,"The Swannanoa Gathering - Celtic Week","2006-07-16 00:00:00","2006-07-22 00:00:00","Warren Wilson College","701 Warren Wilson Road","Swannanoa","North Carolina","USA",35.61235809,-82.44188690
36,"Edel Fox & Ronan O'Flaherty House Concert","2006-07-19 19:00:00","2006-07-19 21:30:00","Music By The Bay House Concerts","","Assonet","Massachusetts","USA",41.79619598,-71.06399536
45,"Peter Horan & Gerry Harrington: Workshops & House Concert","2006-07-21 12:00:00","2006-07-23 00:00:00","Teach Stràille Glass","2099 Phelps Road","Pembroke","New York","USA",43.02834320,-78.34313202
3,"Jackie Daly And Paul De Grae","2006-07-21 20:00:00","2006-07-21 23:00:00","Irish American Association Of Northwest Jersey","352 Richard Mine Road","Rockaway","New Jersey","USA",40.91407013,-74.57511139
61,"Chicago - An Evening Of Traditional Tunes Benefit","2006-07-23 16:00:00","2006-07-23 19:00:00","Irish American Heritage Center","4626 N. Knox Avenue","Chicago","Illinois","USA",41.96532440,-87.74459076
51,"Fiddler's Green International Festival","2006-07-23 21:00:00","2006-07-30 00:00:00","St Bronagh's Social Club","5-7 Mary Street","Rostrevor","Down","Northern Ireland",54.32769775,-5.71576691
43,"The 3rd Francis McPeake International Summer School 2006","2006-07-24 00:00:00","2006-06-29 00:00:00","Various Venues","","Belfast","Antrim","Northern Ireland",54.64273071,-5.94226933
46,"Scoil Acla 2006","2006-07-24 09:00:00","2006-07-30 12:00:00","Various Venues","","Achill Island","Mayo","Ireland",53.96195221,-10.01533508
26,"Dayton Irish Arts Institute","2006-07-25 00:00:00","2006-06-27 00:00:00","University Of Dayton Art Street","","Dayton","Ohio","USA",39.75894928,-84.19160461
56,"Four-day Music Courses With Julie Fowlis, Éamon Doorley & Ross Martin","2006-07-25 00:00:00","2006-07-28 00:00:00","Sabhal Mòr Ostaig","","Sleat","Isle Of Skye","Scotland",57.08982086,-5.87158203
17,"North Atlantic Fiddle Convention","2006-07-26 00:00:00","2006-07-30 00:00:00","Various Venues","","Aberdeen","Aberdeenshire","Scotland",57.21777725,-2.18231249
